id,name,type,github,size_csv,size_zip,url
snjw-gh5d,April 12th Tornado Path,dataset,True,0.01,0.01,https://internal.chattadata.org/api/views/snjw-gh5d/rows.csv?accessType=DOWNLOAD
79t8-mn8i,Solid Waste and Recycling Website Data,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/79t8-mn8i/rows.csv?accessType=DOWNLOAD
shbf-b3mv,Human Resources Turnover and Actives - Public,filter,True,65.47,6.44,https://internal.chattadata.org/api/views/shbf-b3mv/rows.csv?accessType=DOWNLOAD
uips-daya,Blanket Purchase Orders,filter,True,0.13,0.03,https://internal.chattadata.org/api/views/uips-daya/rows.csv?accessType=DOWNLOAD
dswu-uwj7,Invoices with Payments,filter,True,117.91,28.79,https://internal.chattadata.org/api/views/dswu-uwj7/rows.csv?accessType=DOWNLOAD
s9jb-zdxn,Purchasing Requisitions,filter,True,31.86,5.56,https://internal.chattadata.org/api/views/s9jb-zdxn/rows.csv?accessType=DOWNLOAD
jm6x-m38m,Outdoor Chattanooga Users Map,filter,True,1.85,0.56,https://internal.chattadata.org/api/views/jm6x-m38m/rows.csv?accessType=DOWNLOAD
hr34-nqkq,Outdoor Chattanooga Users,dataset,True,24.69,5.52,https://internal.chattadata.org/api/views/hr34-nqkq/rows.csv?accessType=DOWNLOAD
hr82-ynje,Activity Participation,dataset,True,0.04,0.01,https://internal.chattadata.org/api/views/hr82-ynje/rows.csv?accessType=DOWNLOAD
7v6u-5v96,GridSmart Volume - Internal: All Time Intersection Averages per Day,filter,True,0.04,0.01,https://internal.chattadata.org/api/views/7v6u-5v96/rows.csv?accessType=DOWNLOAD
xuy2-h3f3,CDOT Traffic Volume: Daily Totals,filter,True,27.88,2.8,https://internal.chattadata.org/api/views/xuy2-h3f3/rows.csv?accessType=DOWNLOAD
fpgh-69ti,CDOT Vehicle Detection,filter,False,4237.06,308.72,https://internal.chattadata.org/api/views/fpgh-69ti/rows.csv?accessType=DOWNLOAD
tdq7-y7yk,Open Checkbook Distributions,dataset,False,429.61,89.04,https://internal.chattadata.org/api/views/tdq7-y7yk/rows.csv?accessType=DOWNLOAD
5sa9-tb97,Hamilton County Block Group Populations - 2018,dataset,True,1.75,0.47,https://internal.chattadata.org/api/views/5sa9-tb97/rows.csv?accessType=DOWNLOAD
9nhv-8ufr,Capital Projects Geom,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/9nhv-8ufr/rows.csv?accessType=DOWNLOAD
e54z-qvid,Capital Project Explorer Staging Data,dataset,True,0.01,0.0,https://internal.chattadata.org/api/views/e54z-qvid/rows.csv?accessType=DOWNLOAD
hhdc-a448,Public CPD Arrests,filter,True,8.85,1.72,https://internal.chattadata.org/api/views/hhdc-a448/rows.csv?accessType=DOWNLOAD
v9y9-uavb,Public CPD Arrest Charges,filter,True,21.69,3.35,https://internal.chattadata.org/api/views/v9y9-uavb/rows.csv?accessType=DOWNLOAD
b8kj-tfr6,Hamilton County Census Tract Population - 2018 ACS Five Year,dataset,True,0.12,0.03,https://internal.chattadata.org/api/views/b8kj-tfr6/rows.csv?accessType=DOWNLOAD
ekst-e8w7,2021 Budget Public Input Responses,dataset,True,0.14,0.03,https://internal.chattadata.org/api/views/ekst-e8w7/rows.csv?accessType=DOWNLOAD
8hcn-svpq,BLS Data,dataset,True,0.42,0.04,https://internal.chattadata.org/api/views/8hcn-svpq/rows.csv?accessType=DOWNLOAD
auia-u263,Code Enforcement - Activities - Simplified,filter,True,172.9,24.51,https://internal.chattadata.org/api/views/auia-u263/rows.csv?accessType=DOWNLOAD
cn8m-xnfj,Hamilton County Census Tracts - 2010,dataset,True,0.09,0.02,https://internal.chattadata.org/api/views/cn8m-xnfj/rows.csv?accessType=DOWNLOAD
